brand,material_raw,price_current,price_mrp,product_id,rating,review_count,title
OISHANI SAREE GHOR,,1499.0,4599.0,B0DRCL9XJB,,3.8,13.0,traditional bengal cotton & silk soft jamdani saree - beautiful bokul design work - 5.5 metres saree without blouse piece
PASUM'S,,899.0,1999.0,B0FVYBLY2F,,,,women handloom booti work cotton dhakai jamdani soft pure cotton silk sarees ethnic saree for traditional with blouse piece festival wear
WoodenTant,,2061.0,4500.0,B084CVCRFX,,3.7,134.0,cotton silk saree
SGF11,,1295.0,647.5,B0DF32V33N,,4.2,179.0,kanjivaram pure soft silk designer saree with blouse piece
Saree Niketan,,1099.0,3299.0,B0BTBLXV7Y,,4.0,13.0,traditional bengal cotton silk jamdani saree (white)
dB DESH BIDESH,,1375.0,5488.0,B094H5Q6ZC,,3.6,170.0,women`s bengal handloom tant soft dhakai jamdani cotton saree whole body design without blouse piece
BASANA SAREE KUTHIR,,889.0,5499.0,B0G4DWGRK4,,,,trendy elegant jamdani saree for with traditional motifs without blouse piece
dB DESH BIDESH,,646.0,1953.0,B07XX1BYZJ,,3.8,27.0,women`s rangabati resham dhakai jamdani pure cotton handloom saree without blouse piece
dB DESH BIDESH,,597.0,4599.0,B0CT41699L,,4.0,5.0,"women`s new dhakai jamdani sarees handloom silk saree saree for wedding, function banarasi zari design jamdani new, collection saree party, wear sari latest sarees"
Bengal looms India Weaves of Elegance,,1899.0,4735.0,B0D7QDPTXF,,4.2,16.0,tantuja inspired traditional floral nakshi butta work soft jamdani saree
Rnn Saree,,899.0,2999.0,B0F63MT57N,,4.2,3.0,pakhi lata cotton silk dhakai jamdani saree
Bengal looms India Weaves of Elegance,,1989.0,4724.0,B0D3B14DGV,,3.2,10.0,tantuja inspired traditional karat nakshi work soft jamdani saree
BENGAL HANDLOOM,,999.0,4899.0,B0DRVZFK6L,,3.7,9.0,mina soft cotton jamdani saree
Saree Niketan,,799.0,2699.0,B0BCX9Q4RJ,,3.6,72.0,traditional bengal cotton silk jamdani saree
